"dataset","dataset_size","model_id","eps_targeted","delta","bs","epochs","lr","C","sampling_rate","sigma","trainable_parameters","training_loss","training_accuracy","test_loss","test_accuracy"
"CIFAR-100",50000,"D121",7.5,1e-05,46368,285,1.12054825758428,5.02016770826634,0.92736,7.6220703125,7056356,3.63981410191984,0.154927367354856,3.66772563457489,0.1517
"CIFAR-100",50000,"D121",7.5,1e-05,29248,145,2.6865198510676,2.37222172815674,0.58496,5.46875,7056356,3.4596095255443,0.182502228060262,3.52660876512527,0.1775
"CIFAR-100",50000,"D121",7.5,1e-05,39440,130,6.14975000066466,6.69947448459841,0.7888,5.185546875,7056356,4.42665509503297,0.0312657375180802,4.3947687625885,0.0361
"CIFAR-100",50000,"D121",7.5,1e-05,13040,85,1.08430198533241,7.93155110627213,0.2608,3.046875,7056356,3.67896390981711,0.153187582560431,3.55164673695197,0.171110045502856
"CIFAR-100",50000,"D121",7.5,1e-05,24736,420,8.92001755996823,7.22205443306697,0.49472,7.55859375,7056356,4.61466014431608,0.0105712531281146,4.6326435987766,0.0151013642553474
"CIFAR-100",50000,"D121",7.5,1e-05,25360,200,0.814435247718576,1.47052571201603,0.5072,6.4013671875,7056356,3.73612638882228,0.152079011478321,3.77574461698532,0.1439
"CIFAR-100",50000,"D121",7.5,1e-05,24768,455,7.41566614227605,6.2790226824622,0.49536,7.861328125,7056356,4.60131167402171,0.0150712078319614,4.61485385894775,0.0176
"CIFAR-100",50000,"D121",7.5,1e-05,46320,205,0.532001923050365,9.73281959203679,0.9264,6.4794921875,7056356,3.46307223183768,0.182436800603306,3.46355195045471,0.1858
"CIFAR-100",50000,"D121",7.5,1e-05,20912,410,7.73569770710198,0.174888648185962,0.41824,7.470703125,7056356,3.42288004268299,0.192701725869037,3.46905539035797,0.1887
"CIFAR-100",50000,"D121",7.5,1e-05,48512,390,4.09053288152906,5.43484894407187,0.97024,8.896484375,7056356,3.86535086437148,0.114497856230365,3.84170759916306,0.1243
"CIFAR-100",50000,"D121",7.5,1e-05,9088,180,8.90810664710598,9.50603847499018,0.18176,3.57177734375,7056356,4.62194463522127,0.0101549022983909,4.63207948207855,0.0141229310901015
"CIFAR-100",50000,"D121",7.5,1e-05,48992,420,3.24696813295144,3.49644193548681,0.97984,9.228515625,7056356,3.66722231441074,0.150725588223349,3.66182296276093,0.1565
"CIFAR-100",50000,"D121",7.5,1e-05,37376,270,0.417442078570199,4.74256968183806,0.74752,7.421875,7056356,3.45932879004368,0.190816427942674,3.48388880032759,0.182808555865551
"CIFAR-100",50000,"D121",7.5,1e-05,26000,120,7.34283366248141,0.847863996602426,0.52,4.990234375,7056356,3.53451240758488,0.173840681895558,3.56514117809442,0.166000834495815
"CIFAR-100",50000,"D121",7.5,1e-05,48944,450,2.49643746500178,2.96149683008246,0.97888,9.55078125,7056356,3.64609832857169,0.150183868419163,3.67697172898513,0.148105881327222
"CIFAR-100",50000,"D121",7.5,1e-05,22912,25,2.04186549020367,7.95482722982186,0.45824,2.021484375,7056356,4.40092977369675,0.0407446282038662,4.33427813053131,0.0504
"CIFAR-100",50000,"D121",7.5,1e-05,38288,435,9.07465872191097,1.03060830515101,0.76576,9.39453125,7056356,3.68259498051235,0.150183284842776,3.66634652614594,0.1549
"CIFAR-100",50000,"D121",7.5,1e-05,43792,150,3.80461823733186,3.59090855102906,0.87584,5.5615234375,7056356,3.96680027363347,0.104212659422743,3.90843675228266,0.114498742028697
"CIFAR-100",50000,"D121",7.5,1e-05,24064,155,1.28229576541468,5.42126474688626,0.48128,4.6435546875,7056356,3.49423097600841,0.180199021295933,3.48878260850906,0.1842
"CIFAR-100",50000,"D121",7.5,1e-05,46352,25,7.9253175414277,5.35538811520019,0.92704,2.39501953125,7056356,4.60495131842944,0.0107539973064344,4.60490400791168,0.0133
"CIFAR-100",50000,"D121",7.5,1e-05,1472,395,1.52008262795059,1.71040415174019,0.02944,2.2802734375,7056356,3.31014964335105,0.214802091890905,3.34660571592825,0.216275764150409
"CIFAR-100",50000,"D121",7.5,1e-05,15856,480,7.76887104698516,6.86059995237317,0.31712,7.001953125,7056356,4.62159008719027,0.00972701283130222,4.62854256079747,0.0163064011226252
"CIFAR-100",50000,"D121",7.5,1e-05,31792,75,1.61866089836621,1.76702713935227,0.63584,3.9794921875,7056356,3.79599507168086,0.13481418359304,3.8245894908905,0.1311
"CIFAR-100",50000,"D121",7.5,1e-05,30176,275,2.57783858441488,8.17936759509077,0.60352,7.490234375,7056356,3.89847749170631,0.112453371656283,3.88163826465607,0.1169
"CIFAR-100",50000,"D121",7.5,1e-05,4864,450,4.36746765883133,2.2404035841504,0.09728,4.130859375,7056356,3.47682639324304,0.190248146425116,3.45189193316868,0.190943060157281
"CIFAR-100",50000,"D121",7.5,1e-05,2896,35,1.46359075582062,7.57522898554905,0.05792,1.143798828125,7056356,3.78445206176151,0.142894461335158,3.70396279371702,0.156007561478704
"CIFAR-100",50000,"D121",7.5,1e-05,30144,310,0.163224714334703,8.18935968076322,0.60288,7.9443359375,7056356,3.53173701373898,0.182304280329287,3.58511065244675,0.1736
