"dataset","dataset_size","model_id","eps_targeted","delta","bs","epochs","lr","C","sampling_rate","sigma","trainable_parameters","training_loss","training_accuracy","test_loss","test_accuracy"
"CIFAR-10",50000,"DP-CNN",3,1e-05,29472,330,6.37364672750498,6.43746255799032,0.58944,17.96875,550570,3.04351459230695,0.194538835745613,3.04952681064606,0.2151
"CIFAR-10",50000,"DP-CNN",3,1e-05,25552,45,5.07487561670657,7.98018608216454,0.51104,6.73828125,550570,12.682112803826,0.154578001767772,13.6477313041687,0.2062
"CIFAR-10",50000,"DP-CNN",3,1e-05,49600,425,6.3917806814931,2.47161951227056,0.992,20.390625,550570,1.99186780623027,0.360360617792081,1.95391285419465,0.3742
"CIFAR-10",50000,"DP-CNN",3,1e-05,2432,210,3.6362020363237,9.94787730494174,0.04864,4.4921875,550570,31.7770052410307,0.114158730612686,30.9277512232462,0.131832914086687
"CIFAR-10",50000,"DP-CNN",3,1e-05,28336,65,9.79535595558391,8.18551535885695,0.56672,8.046875,550570,26.8953436337985,0.142912720628465,18.0966806411743,0.1975
"CIFAR-10",50000,"DP-CNN",3,1e-05,24144,135,7.22977140607144,0.496857659391832,0.48288,9.453125,550570,1.35867156982422,0.613355557141317,1.419702231884,0.6003
"CIFAR-10",50000,"DP-CNN",3,1e-05,18896,450,1.22395200142963,5.44503195505469,0.37792,17.1484375,550570,1.65069848696391,0.467593380184551,1.62359130382538,0.4686
"CIFAR-10",50000,"DP-CNN",3,1e-05,34976,70,0.977407511564636,5.75128313417558,0.69952,8.359375,550570,1.5533682520573,0.467346691457599,1.47963511943817,0.4794
"CIFAR-10",50000,"DP-CNN",3,1e-05,17936,140,2.29523706425249,2.51769388341094,0.35872,9.609375,550570,1.26749316409782,0.629860423156698,1.35365682840347,0.6147
"CIFAR-10",50000,"DP-CNN",3,1e-05,4144,375,0.43303549167303,3.37333341511884,0.08288,7.55859375,550570,1.41378931815808,0.557428547868751,1.41291922330857,0.559162780103201
"CIFAR-10",50000,"DP-CNN",3,1e-05,18384,345,6.55423677949063,1.09825911279557,0.36768,15.0390625,550570,1.82639530411473,0.475519105118628,1.79172813892365,0.487
"CIFAR-10",50000,"DP-CNN",3,1e-05,3552,60,0.236336802272079,3.17510134362436,0.07104,2.9296875,550570,1.40901208321253,0.536573429583011,1.40752717852593,0.534649765442238
"CIFAR-10",50000,"DP-CNN",3,1e-05,11696,170,2.05685121980395,9.17859846473094,0.23392,8.22265625,550570,2.08104267120361,0.30826660748495,2.03903687000274,0.3228
"CIFAR-10",50000,"DP-CNN",3,1e-05,38912,220,7.28778233062627,9.21794990911491,0.77824,14.6875,550570,5.74092013495309,0.166732290081342,5.56128168106079,0.174
"CIFAR-10",50000,"DP-CNN",3,1e-05,7392,445,4.41068392820624,4.36948063826739,0.14784,11.171875,550570,2.3430141891752,0.224614444945694,2.33481478691101,0.2319
"CIFAR-10",50000,"DP-CNN",3,1e-05,42720,130,2.99743568084262,2.54481261596647,0.8544,11.328125,550570,1.42024707794189,0.554625951276296,1.39304292201995,0.5575
"CIFAR-10",50000,"DP-CNN",3,1e-05,23024,440,6.25599135823266,2.53299985493955,0.46048,16.953125,550570,2.06798851490021,0.301335557993543,2.04000616073608,0.3141
"CIFAR-10",50000,"DP-CNN",3,1e-05,3792,245,7.90087519247848,3.18060475080373,0.07584,5.91796875,550570,2.99234533309937,0.145839227250623,2.70235222578048,0.190327493223796
"CIFAR-10",50000,"DP-CNN",3,1e-05,28848,140,5.37268411247429,8.06720933742793,0.57696,11.7578125,550570,2.40982479315538,0.280438561162507,2.38380420207977,0.2924
