"dataset","dataset_size","model_id","eps_targeted","delta","bs","epochs","lr","C","sampling_rate","sigma","trainable_parameters","training_loss","training_accuracy","test_loss","test_accuracy"
"IMDB",25000,"SimpleLSTM",7.5,1e-05,7856,280,6.94384505287471,2.87780606152224,0.31424,5.3759765625,244514,31.4707892886218,0.540549144448866,70.8677642633057,0.5
"IMDB",25000,"SimpleLSTM",7.5,1e-05,10256,160,7.45560916059007,7.89002762597254,0.41024,4.716796875,244514,98.6995710454548,0.555480081511967,127.344301471252,0.5
"IMDB",25000,"SimpleLSTM",7.5,1e-05,11696,225,5.06394863352112,3.00346207902121,0.46784,5.56640625,244514,20.4654269552361,0.42297199711145,32.35699668396,0.5
"IMDB",25000,"SimpleLSTM",7.5,1e-05,1696,255,6.10977987113548,2.08774733844801,0.06784,2.724609375,244514,3.88352358954119,0.500972801270598,0.708178487319946,0.51064
"IMDB",25000,"SimpleLSTM",7.5,1e-05,16848,400,1.22775896539604,2.37638904740976,0.67392,9.013671875,244514,0.67412120344411,0.593075145429915,0.668425486207008,0.60348
"IMDB",25000,"SimpleLSTM",7.5,1e-05,20640,40,1.19865748179984,3.84042985965484,0.8256,2.96142578125,244514,0.672962870363431,0.616363563370669,0.692250520141125,0.54024
"IMDB",25000,"SimpleLSTM",7.5,1e-05,24224,240,4.96596389177578,4.82992429902275,0.96896,7.001953125,244514,67.4058112922133,0.332410528005136,59.3310069354248,0.5
"IMDB",25000,"SimpleLSTM",7.5,1e-05,23296,485,7.42821824860024,3.24161926146842,0.93184,9.912109375,244514,42.3137680992211,0.498081074598225,38.0742314672852,0.5
"IMDB",25000,"SimpleLSTM",7.5,1e-05,12832,80,5.1547384709776,1.33168111405616,0.51328,4.1015625,244514,1.25052861600323,0.500599904015358,0.694228181865215,0.50008
"IMDB",25000,"SimpleLSTM",7.5,1e-05,20656,255,6.40699927578064,3.30460329416369,0.82624,7.216796875,244514,0.692715012780771,0.506285167005866,0.691232705738544,0.52056
"IMDB",25000,"SimpleLSTM",7.5,1e-05,9136,360,8.84405385964062,9.8309733125711,0.36544,7.001953125,244514,141.515822090756,0.356004036326942,0.860425039498806,0.504
"IMDB",25000,"SimpleLSTM",7.5,1e-05,640,425,2.11939118503054,0.970232756258459,0.0256,2.18994140625,244514,0.67770148550169,0.787724816517461,0.639608481025696,0.7952
"IMDB",25000,"SimpleLSTM",7.5,1e-05,6528,290,2.12194866638165,7.42868270981975,0.26112,5.46875,244514,0.702273231532405,0.520662814957471,0.675065261156559,0.57464
"IMDB",25000,"SimpleLSTM",7.5,1e-05,12304,185,1.05184449749153,7.14199708963304,0.49216,5.05859375,244514,0.708751645357095,0.464714624251918,0.69223601667881,0.54128
"IMDB",25000,"SimpleLSTM",7.5,1e-05,23472,205,1.25308803254243,6.02157681517264,0.93888,6.4794921875,244514,0.680141001425695,0.574682034976153,0.678367933337688,0.58668
"IMDB",25000,"SimpleLSTM",7.5,1e-05,2704,445,8.50250719726446,9.38866900741781,0.10816,4.306640625,244514,NA,0.497342956852792,NA,0.5
"IMDB",25000,"SimpleLSTM",7.5,1e-05,7056,410,0.650102194694089,2.75242370145537,0.28224,6.4794921875,244514,0.655752399925228,0.635884115884116,0.64266103313446,0.64
"IMDB",25000,"SimpleLSTM",7.5,1e-05,23520,440,9.9415712154795,4.5673430435433,0.9408,9.453125,244514,79.0246525726081,0.499301926682357,38.4664204423523,0.5
"IMDB",25000,"SimpleLSTM",7.5,1e-05,13088,200,0.0727172822448323,0.801459597290971,0.52352,6.4013671875,244514,0.69156217264752,0.557080924855491,0.691712848248482,0.55544
"IMDB",25000,"SimpleLSTM",7.5,1e-05,16656,340,1.32476003021854,9.2693822277279,0.66624,8.3203125,244514,0.69976087412671,0.500159527797719,0.692608553044796,0.52444
"IMDB",25000,"SimpleLSTM",7.5,1e-05,14736,300,4.14864201313583,7.2445084424089,0.58944,7.8173828125,244514,30.9808991597628,0.578623930594047,11.2227903476131,0.50008
"IMDB",25000,"SimpleLSTM",7.5,1e-05,6080,30,0.706399478076493,8.66500301639189,0.2432,1.76025390625,244514,0.657743326900869,0.600152445139808,0.683741785621643,0.57808
"IMDB",25000,"SimpleLSTM",7.5,1e-05,12624,455,3.96204009425351,6.87086812642647,0.50496,9.609375,244514,41.0241107649141,0.500339959204895,81.3234847232056,0.5
"IMDB",25000,"SimpleLSTM",7.5,1e-05,18064,190,2.3702922489158,2.68702199148724,0.72256,6.240234375,244514,0.728626261786689,0.427257825930516,0.692374129309654,0.52752
"IMDB",25000,"SimpleLSTM",7.5,1e-05,11392,445,6.12518047253122,5.02922967087707,0.45568,7.7734375,244514,65.3756016827484,0.496915422885572,21.5306169720078,0.5
